,Request #,Date / Time Opened,Contact Type,Preferred Language,Closed When Created,Address,City,Council District,ZIP,Latitude,Longitude,Mapped Location
0,346122,04/15/2020 11:33:26 AM,,,False,928 6th Ave S,NASHVILLE,17.0,37203.0,36.1490396,-86.77227289999998,"(36.1490396, -86.77227289999999)"
1,339374,04/04/2020 06:13:59 PM,,,False,500 Gallatin Ave,NASHVILLE,5.0,37206.0,36.181548,-86.74969499999999,"(36.181548, -86.749695)"
2,343513,04/10/2020 10:40:08 AM,,,False,5720 Crossings Blvd,,,,36.039608,-86.646541,"(36.039608, -86.646541)"
3,442996,08/12/2020 02:05:29 AM,,,False,7689 Hwy 70 S,NASHVILLE,22.0,37221.0,36.07893290000001,-86.9533998,"(36.07893290000001, -86.9533998)"
4,339423,04/04/2020 08:12:27 PM,,,False,5310 Mt View Rd,ANTIOCH,32.0,37013.0,36.048181899999996,-86.64844740000001,"(36.0481819, -86.6484474)"
5,407667,07/04/2020 07:59:51 PM,,,False,945 Allen Rd,NASHVILLE,15.0,37214.0,36.1502218,-86.6657714,"(36.1502218, -86.6657714)"
6,339307,04/04/2020 02:51:37 PM,,,False,1635 County Hospital Rd,NASHVILLE,2.0,37218.0,36.188965996998895,-86.83828496632778,"(36.1889659969989, -86.83828496632778)"
7,339479,04/04/2020 11:54:18 PM,,,False,1524 Gallatin Ave,NASHVILLE,5.0,37206.0,36.1942946,-86.74391609999998,"(36.1942946, -86.74391609999999)"
8,339684,04/05/2020 09:29:17 PM,,,False,301 14th Ave N,NASHVILLE,19.0,37203.0,36.159267911605305,-86.79323699999998,"(36.159267911605305, -86.79323699999999)"
9,343647,04/10/2020 02:19:57 PM,,,False,5824 Nolensville Pike,NASHVILLE,27.0,37211.0,36.042074911555545,-86.70945799999998,"(36.04207491155555, -86.70945799999998)"
10,339634,04/05/2020 06:53:39 PM,,,False,205 E Webster St,MADISON,7.0,37115.0,36.251657767934866,-86.71624962240458,"(36.25165776793487, -86.71624962240458)"
11,393364,06/16/2020 04:40:49 PM,,,False,1522 Demonbreun St,NASHVILLE,19.0,37203.0,36.1530528,-86.79032219999998,"(36.1530528, -86.79032219999999)"
12,410654,07/08/2020 01:51:51 PM,,,False,2001 8th Ave S,NASHVILLE,17.0,37204.0,36.13393,-86.77946,"(36.13393, -86.77946)"
13,339505,04/05/2020 01:29:35 AM,,,False,4205 Blackwater Dr,NASHVILLE,22.0,37221.0,36.06994917111437,-86.97841879627802,"(36.069949171114374, -86.97841879627802)"
14,408021,07/05/2020 09:22:56 PM,,,False,5824 Nolensville Pike,NASHVILLE,27.0,37211.0,36.041940000000004,-86.70918,"(36.04194, -86.70918)"
15,363493,05/10/2020 01:48:46 AM,,,False,2450 Music Valley Dr,NASHVILLE,15.0,37214.0,36.221387311631744,-86.69452069325409,"(36.22138731163174, -86.69452069325409)"
16,339415,04/04/2020 07:57:37 PM,,,False,4806 Colorado Ave,NASHVILLE,24.0,37209.0,36.14226268781836,-86.84500030235847,"(36.14226268781836, -86.84500030235847)"
17,339687,04/05/2020 09:42:37 PM,,,False,912 Kalvesta Ct,ANTIOCH,33.0,37013.0,36.07739229999999,-86.5996043,"(36.0773923, -86.5996043)"
18,339270,04/04/2020 10:35:33 AM,,,False,349 Peabody St,NASHVILLE,19.0,37210.0,36.156057956276726,-86.7735066747809,"(36.156057956276726, -86.7735066747809)"
19,339335,04/04/2020 04:19:49 PM,,,False,2535 Powell Ave,NASHVILLE,16.0,37204.0,36.1075618336896,-86.76534760488127,"(36.1075618336896, -86.76534760488126)"
20,339690,04/05/2020 09:56:27 PM,,,False,276 White Bridge Pike,NASHVILLE,24.0,37209.0,36.14279989999999,-86.85698509999999,"(36.14279989999999, -86.8569851)"
21,350516,04/22/2020 03:15:50 PM,,,False,1621 Heil Quaker Blvd,LAVERGNE,33.0,37086.0,36.018956,-86.60790899999998,"(36.018956, -86.60790899999999)"
22,350903,04/22/2020 08:39:47 PM,,,False,330 Gallatin Pike S,MADISON,8.0,37115.0,36.25929,-86.71351999999999,"(36.25929, -86.71352)"
23,347509,04/16/2020 08:49:07 PM,,,False,556 Metroplex Dr,NASHVILLE,13.0,37211.0,36.09503529999999,-86.70415659999998,"(36.0950353, -86.70415659999999)"
24,347648,04/17/2020 01:26:24 AM,,,False,601 Oak Forest Ln,ANTIOCH,28.0,37013.0,36.0774565,-86.65536920000001,"(36.0774565, -86.6553692)"
25,456019,09/01/2020 02:26:46 PM,,,False,7034 Charlotte Pike,NASHVILLE,35.0,37209.0,36.12897,-86.90594,"(36.12897, -86.90594)"
26,421724,07/21/2020 04:32:08 AM,,,False,1900 Belmont Blvd,NASHVILLE,18.0,37212.0,36.1329081,-86.79417020000001,"(36.1329081, -86.7941702)"
27,347616,04/16/2020 11:17:11 PM,,,False,8103 Moores Ln,,,,35.9637606,-86.80453709999998,"(35.9637606, -86.80453709999999)"
28,363501,05/10/2020 02:52:52 AM,,,False,1024 40th Ave N,NASHVILLE,21.0,37209.0,36.1632941,-86.83730940000001,"(36.1632941, -86.8373094)"
29,358533,05/04/2020 07:43:26 PM,,,False,W Trinity Ln & Whites Creek Pike,NASHVILLE,2.0,37207.0,36.20704,-86.7916,"(36.20704, -86.7916)"
30,339462,04/04/2020 10:47:05 PM,,,False,365 Harding Pl,NASHVILLE,30.0,37211.0,36.0842141,-86.70475119999998,"(36.0842141, -86.70475119999999)"
31,339655,04/05/2020 07:44:07 PM,,,False,3021 Lealand Ln,NASHVILLE,17.0,37204.0,36.1181343,-86.7883402,"(36.1181343, -86.7883402)"
32,339309,04/04/2020 02:54:18 PM,,,False,3430 Doverside Dr,NASHVILLE,3.0,37207.0,36.24340082151323,-86.75808992431796,"(36.24340082151323, -86.75808992431796)"
33,339525,04/05/2020 04:33:06 AM,,,False,3719 Amy Lynn Dr,NASHVILLE,1.0,37218.0,36.20508399999999,-86.883618,"(36.20508399999999, -86.883618)"
34,339324,04/04/2020 03:45:19 PM,,,False,1900 Midway Ln,,,,35.930011,-86.53784,"(35.930011, -86.53784)"
35,339602,04/05/2020 05:16:14 PM,,,False,4601 Murphy Rd,NASHVILLE,24.0,37209.0,36.14151600000001,-86.84199,"(36.14151600000001, -86.84199)"
36,422452,07/21/2020 08:14:06 PM,,,False,1436 Robinson Rd,OLD HICKORY,11.0,37138.0,36.256209999999996,-86.65518,"(36.25621, -86.65518)"
37,339502,04/05/2020 01:26:04 AM,,,False,2826 Hartford Dr,NASHVILLE,16.0,37210.0,36.11007968304747,-86.73321459442377,"(36.11007968304747, -86.73321459442377)"
38,339368,04/04/2020 05:47:39 PM,Resident,,False,901 E Old Hickory Blvd,MADISON,9.0,37115.0,36.26314441025772,-86.69042141051655,"(36.263144410257716, -86.69042141051655)"
39,339646,04/05/2020 07:21:00 PM,,,False,708 Garfield St,NASHVILLE,19.0,37208.0,36.181068332247094,-86.79592095315456,"(36.181068332247094, -86.79592095315456)"
40,343206,04/09/2020 07:10:44 PM,,,False,578 Aldi Blvd,,,,36.06219,-86.43791999999999,"(36.06219, -86.43792)"
41,339506,04/05/2020 01:32:43 AM,,,False,5415 Louisiana Ave,NASHVILLE,20.0,37209.0,36.1618989,-86.85433119999998,"(36.1618989, -86.85433119999999)"
42,343481,04/10/2020 03:36:22 AM,,,False,602 Joseph Ave,NASHVILLE,5.0,37207.0,36.18131206378229,-86.77262531962357,"(36.18131206378229, -86.77262531962357)"
43,396784,06/19/2020 09:01:31 PM,,,False,4054 Andrew Jackson Way,HERMITAGE,11.0,37076.0,36.18615,-86.60852,"(36.18615, -86.60852)"
44,339271,04/04/2020 10:42:23 AM,,,False,2440 Couchville Pike,,,,36.118115,-86.650633,"(36.118115, -86.650633)"
45,339411,04/04/2020 07:45:44 PM,,,False,6216 Robin Hill Rd,NASHVILLE,23.0,37205.0,36.107167,-86.8830868,"(36.107167, -86.8830868)"
46,339373,04/04/2020 06:12:08 PM,,,False,3759 Nolensville Pike,NASHVILLE,26.0,37211.0,36.091896221926014,-86.73550804195959,"(36.091896221926014, -86.7355080419596)"
47,442688,08/11/2020 07:07:55 PM,,,False,1711 Division St,NASHVILLE,19.0,37203.0,36.1513,-86.79408000000001,"(36.1513, -86.79408)"
48,353955,04/28/2020 02:16:05 PM,,,False,4617 Old Hickory Blvd,OLD HICKORY,14.0,37138.0,36.2026721,-86.6218383,"(36.2026721, -86.6218383)"
49,354390,04/28/2020 08:08:27 PM,,,False,4723 Andrew Jackson Pkwy,HERMITAGE,11.0,37076.0,36.2169521,-86.5972,"(36.2169521, -86.5972)"
50,417292,07/15/2020 06:55:09 PM,,,False,2304 Murfreesboro Pike,NASHVILLE,29.0,37217.0,36.086481799999994,-86.64767479999998,"(36.0864818, -86.64767479999999)"
51,339480,04/04/2020 11:56:11 PM,,,False,4728 McBride Rd,ANTIOCH,28.0,37013.0,36.066984087953436,-86.67327728122473,"(36.06698408795344, -86.67327728122473)"
52,339598,04/05/2020 05:14:55 PM,,,False,Hummingbird Dr,NASHVILLE,1.0,37218.0,36.21882149999999,-86.82289875,"(36.21882149999999, -86.82289875)"
53,417210,07/15/2020 06:00:02 PM,,,False,1 Club Dr,NASHVILLE,34.0,37215.0,36.04979,-86.82285,"(36.04979, -86.82285)"
54,339706,04/05/2020 10:14:04 PM,,,False,1806 Jefferson St,NASHVILLE,21.0,37208.0,36.1696669,-86.8074563,"(36.1696669, -86.8074563)"
55,339442,04/04/2020 09:30:28 PM,,,False,210 Anne Dallas Dudley Blvd,NASHVILLE,19.0,37219.0,36.163000000000004,-86.78200000000001,"(36.163, -86.782)"
56,339451,04/04/2020 10:07:12 PM,,,False,7219 TN-100,NASHVILLE,34.0,37221.0,36.06103524800776,-86.90603887662293,"(36.061035248007755, -86.90603887662292)"
57,339637,04/05/2020 07:01:24 PM,,,False,315 Bridgeway Ave,OLD HICKORY,11.0,37138.0,36.269368,-86.666108,"(36.269368, -86.666108)"
58,339597,04/05/2020 05:13:59 PM,,,False,4001 Harding Pike,NASHVILLE,24.0,37205.0,36.12837600000001,-86.8345785,"(36.12837600000001, -86.8345785)"
59,339523,04/05/2020 03:58:25 AM,,,False,2313 25th Ave N,NASHVILLE,2.0,37208.0,36.18798400000001,-86.81700359999998,"(36.18798400000001, -86.81700359999999)"
60,422610,07/21/2020 11:17:43 PM,,,False,353 W Thompson Ln,NASHVILLE,16.0,37211.0,36.1109624,-86.7457512,"(36.1109624, -86.7457512)"
61,367250,05/14/2020 01:14:17 PM,,,False,,,,,,,
62,347543,04/16/2020 09:12:32 PM,,,False,1200 Lone Oak Rd,NASHVILLE,25.0,37215.0,36.09437,-86.80570999999999,"(36.09437, -86.80571)"
63,350670,04/22/2020 05:04:16 PM,,,False,1813 8th Ave S,NASHVILLE,17.0,37203.0,36.13537,-86.77945759999999,"(36.13537, -86.7794576)"
64,339656,04/05/2020 07:45:15 PM,,,False,Unnamed Road,ANTIOCH,32.0,37013.0,36.04927788546219,-86.6572381538722,"(36.04927788546219, -86.6572381538722)"
65,396860,06/19/2020 11:06:27 PM,,,False,1281 3rd Ave S,NASHVILLE,17.0,37210.0,36.141759161597854,-86.76350010674591,"(36.141759161597854, -86.76350010674591)"
66,339359,04/04/2020 05:29:02 PM,,,False,2609 Gallatin Pike,NASHVILLE,5.0,37216.0,36.197415,-86.74239600000001,"(36.197415, -86.74239600000001)"
67,339670,04/05/2020 08:45:29 PM,,,False,5428 Hickory Hollow Pkwy,ANTIOCH,32.0,37013.0,36.0419028,-86.64921700000001,"(36.0419028, -86.649217)"
68,339405,04/04/2020 07:31:55 PM,,,False,5201 Saundersville Rd,,,,36.25109880379696,-86.5642146689075,"(36.25109880379695, -86.56421466890748)"
69,339496,04/05/2020 12:49:01 AM,,,False,15180 Old Hickory Blvd,NASHVILLE,27.0,37211.0,36.0463864,-86.72093740000001,"(36.0463864, -86.7209374)"
70,344367,04/11/2020 03:27:13 AM,,,False,3424 Lebanon Pike,HERMITAGE,14.0,37076.0,36.18934671161811,-86.6278361,"(36.189346711618114, -86.6278361)"
71,344211,04/10/2020 10:20:53 PM,,,False,,,,,,,
72,339403,04/04/2020 07:28:27 PM,,,False,2312 Murfreesboro Pike,NASHVILLE,29.0,37217.0,36.0865342,-86.64674240000002,"(36.0865342, -86.64674240000001)"
73,363484,05/10/2020 12:31:56 AM,,,False,1026 Primm Dr,MADISON,8.0,37115.0,36.280468371363824,-86.71988146924406,"(36.28046837136383, -86.71988146924406)"
74,339395,04/04/2020 07:01:12 PM,,,False,7114 Hwy 70 S,NASHVILLE,22.0,37221.0,36.074563700000006,-86.92266719999998,"(36.0745637, -86.92266719999999)"
75,339314,04/04/2020 03:11:58 PM,,,False,2535 Powell Ave,NASHVILLE,16.0,37204.0,36.1075618336896,-86.76534760488127,"(36.1075618336896, -86.76534760488126)"
76,339759,04/06/2020 12:31:37 AM,,,False,1400 Hynes St,NASHVILLE,19.0,37203.0,36.15920936160527,-86.79327099333594,"(36.15920936160527, -86.79327099333594)"
77,339719,04/05/2020 10:27:17 PM,,,False,84 Lester Ave,NASHVILLE,17.0,37210.0,36.143948185234315,-86.75130692062378,"(36.14394818523431, -86.75130692062378)"
78,339755,04/06/2020 12:28:02 AM,,,False,8197 Londonberry Rd,NASHVILLE,35.0,37221.0,36.0625135,-86.97705049999998,"(36.0625135, -86.97705049999999)"
79,339289,04/04/2020 01:39:04 PM,,,False,1613 Buchanan St,,,,36.179791200000004,-86.8105205,"(36.1797912, -86.8105205)"
80,339679,04/05/2020 08:58:09 PM,,,False,6613 Charlotte Pike,NASHVILLE,23.0,37209.0,36.1377164,-86.88140290000001,"(36.1377164, -86.8814029)"
81,339741,04/05/2020 11:49:54 PM,,,False,2535 Powell Ave,NASHVILLE,16.0,37204.0,36.10700773066301,-86.76618196070194,"(36.107007730663014, -86.76618196070194)"
82,339665,04/05/2020 08:22:26 PM,,,False,3021 Lealand Ln,NASHVILLE,17.0,37204.0,36.1191916,-86.78917170000001,"(36.1191916, -86.7891717)"
83,411078,07/08/2020 06:17:10 PM,,,False,2600 Gallatin Pike,NASHVILLE,7.0,37216.0,36.1966617,-86.74223570000001,"(36.1966617, -86.7422357)"
84,344077,04/10/2020 08:22:18 PM,,,False,210 Anne Dallas Dudley Blvd,NASHVILLE,19.0,37219.0,36.163000000000004,-86.78200000000001,"(36.163, -86.782)"
85,347574,04/16/2020 09:43:22 PM,,,False,609 Gallatin Pike S,MADISON,9.0,37115.0,36.256879999999995,-86.71365,"(36.25688, -86.71365)"
86,339300,04/04/2020 02:26:00 PM,,,False,2201 Murfreesboro Pike,NASHVILLE,28.0,37217.0,36.091269,-86.6519235,"(36.091269, -86.6519235)"
87,339660,04/05/2020 08:03:05 PM,,,False,3711 Bell Rd,NASHVILLE,14.0,37214.0,36.15227964517942,-86.62406614375048,"(36.15227964517942, -86.62406614375048)"
88,339795,04/06/2020 02:33:04 AM,,,False,709 Rivergate Pkwy,GOODLETTSVILLE,10.0,37072.0,36.30440103075658,-86.70467878895491,"(36.30440103075658, -86.70467878895491)"
89,339675,04/05/2020 08:55:35 PM,,,False,845 Springfield Hwy,,,37072.0,36.344604600000004,-86.71925739999998,"(36.3446046, -86.71925739999999)"
90,339393,04/04/2020 06:59:02 PM,,,False,4066 Nolensville Pike,NASHVILLE,26.0,37211.0,36.08037326157178,-86.72496449325409,"(36.080373261571786, -86.7249644932541)"
91,339577,04/05/2020 03:37:01 PM,,,False,7848 McCrory Ln,NASHVILLE,35.0,37221.0,36.089406,-87.020847,"(36.089406, -87.020847)"
92,343847,04/10/2020 04:49:27 PM,,,False,2118 Scott Ave,NASHVILLE,7.0,37216.0,36.19821591162186,-86.73296144999998,"(36.19821591162186, -86.73296144999999)"
93,339413,04/04/2020 07:47:44 PM,,,False,6216 Robin Hill Rd,NASHVILLE,23.0,37205.0,36.107167,-86.8830868,"(36.107167, -86.8830868)"
